,STOCK_CODE,Date,file_name
2230,603369.SH,20200320,sh603369_20200320
2231,603369.SH,20200323,sh603369_20200323
2232,603369.SH,20200324,sh603369_20200324
2233,603369.SH,20200325,sh603369_20200325
2234,603369.SH,20200326,sh603369_20200326
2235,603369.SH,20200327,sh603369_20200327
2236,603369.SH,20200330,sh603369_20200330
2237,603369.SH,20200331,sh603369_20200331
2238,603369.SH,20200401,sh603369_20200401
2239,603369.SH,20200402,sh603369_20200402
2240,603369.SH,20200403,sh603369_20200403
2241,603369.SH,20200407,sh603369_20200407
2242,603369.SH,20200408,sh603369_20200408
2243,603369.SH,20200409,sh603369_20200409
2244,603369.SH,20200410,sh603369_20200410
2245,603369.SH,20200413,sh603369_20200413
2246,603369.SH,20200414,sh603369_20200414
2247,000651.SZ,20200316,sz000651_20200316
2248,000651.SZ,20200317,sz000651_20200317
2249,000651.SZ,20200318,sz000651_20200318
2250,000651.SZ,20200319,sz000651_20200319
2251,000651.SZ,20200320,sz000651_20200320
2252,000651.SZ,20200323,sz000651_20200323
2253,000651.SZ,20200324,sz000651_20200324
2254,000651.SZ,20200325,sz000651_20200325
2255,000651.SZ,20200326,sz000651_20200326
2256,000651.SZ,20200327,sz000651_20200327
2257,000651.SZ,20200330,sz000651_20200330
2258,000651.SZ,20200331,sz000651_20200331
2259,000651.SZ,20200401,sz000651_20200401
2260,000651.SZ,20200402,sz000651_20200402
2261,000651.SZ,20200403,sz000651_20200403
2262,000651.SZ,20200407,sz000651_20200407
2263,000651.SZ,20200408,sz000651_20200408
2264,000651.SZ,20200409,sz000651_20200409
2265,000651.SZ,20200410,sz000651_20200410
2266,000651.SZ,20200413,sz000651_20200413
2267,000651.SZ,20200414,sz000651_20200414
2268,600072.SH,20200316,sh600072_20200316
2269,600072.SH,20200317,sh600072_20200317
2270,600072.SH,20200318,sh600072_20200318
2271,600072.SH,20200319,sh600072_20200319
2272,600072.SH,20200320,sh600072_20200320
2273,600072.SH,20200323,sh600072_20200323
2274,600072.SH,20200324,sh600072_20200324
2275,600072.SH,20200325,sh600072_20200325
2276,600072.SH,20200326,sh600072_20200326
2277,600072.SH,20200327,sh600072_20200327
2278,600072.SH,20200330,sh600072_20200330
2279,600072.SH,20200331,sh600072_20200331
2280,600072.SH,20200401,sh600072_20200401
2281,600072.SH,20200402,sh600072_20200402
2282,600072.SH,20200403,sh600072_20200403
2283,600072.SH,20200407,sh600072_20200407
2284,600072.SH,20200408,sh600072_20200408
2285,600072.SH,20200409,sh600072_20200409
2286,600072.SH,20200410,sh600072_20200410
2287,600072.SH,20200413,sh600072_20200413
2288,600072.SH,20200414,sh600072_20200414
2289,000951.SZ,20200316,sz000951_20200316
2290,000951.SZ,20200317,sz000951_20200317
2291,000951.SZ,20200318,sz000951_20200318
2292,000951.SZ,20200319,sz000951_20200319
2293,000951.SZ,20200320,sz000951_20200320
